Id,Manufacturer,Model,IsDiscrete,,,
0fdccac9-3ec3-cebe-4757-ab1964e7b8d9,Commandante,C40,True,,,
Value,Amount,Coarse,MidHigh,MidLow,Fine,IsExtrapolated
11,30,0.58,9.67,18.72,0.42,FALSE
12,29.41,0.76,10.98,17.23,0.44,TRUE
13,30,1.64,11.55,15.83,0.4,FALSE
14,29.40,2.19,12.76,14.04,0.41,TRUE
15,30,2.70,13.43,12.93,0.37,FALSE
16,29.41,4.63,13.16,11.24,0.38,TRUE
17,30,5.89,12.83,10.08,0.39,FALSE
18,29.43,7.76,12.48,8.84,0.35,TRUE
19,30,9.71,12.22,7.23,0.35,FALSE
20,29.47,11.27,11.05,6.83,0.31,TRUE
21,30,13.35,10.05,5.86,0.38,FALSE
22,29.52,14.84,9.18,5.21,0.28,TRUE
23,30,16.99,7.88,4.49,0.30,FALSE
24,29.57,18.16,7.17,3.99,0.25,TRUE
25,30,19.43,6.19,3.75,0.24,FALSE
26,29.64,20.91,5.35,3.15,0.22,TRUE
27,30,21.88,4.49,3.01,0.18,FALSE
28,29.71,22.78,4.03,2.71,0.18,TRUE
29,30,22.76,3.96,2.79,0.14,FALSE
30,29.78,23.45,3.51,2.66,0.15,TRUE
31,30,23.64,3.43,2.58,0.10,FALSE
32,29.85,22.61,4.11,3.01,0.12,TRUE
