Id,Manufacturer,Model,IsDiscrete,,,
56704cd3-be3d-151e-66e2-daa143358009,Ditting,807 LAB SWEET,FALSE,,,
Value,Amount,Coarse,MidHigh,MidLow,Fine,IsExtrapolated
4,30,1.12,12.86,14.90,0.65,FALSE
4.25,29.57,1.43,14.21,13.40,0.53,TRUE
4.5,30,2.13,14.99,12.17,0.46,FALSE
4.75,29.66,3.14,15.16,10.91,0.45,TRUE
5,30,3.95,15.19,10.03,0.45,FALSE
5.25,29.71,5.67,14.53,9.11,0.40,TRUE
5.5,30,7.21,13.65,8.48,0.33,FALSE
5.75,29.73,8.61,12.94,7.81,0.37,TRUE
6,30,10.88,11.66,6.79,0.27,FALSE
6.25,29.72,11.62,10.91,6.86,0.34,TRUE
6.5,30,12.60,10.07,6.73,0.20,FALSE
6.75,29.69,14.44,8.82,6.12,0.31,TRUE
7,30,15.60,7.95,5.88,0.33,FALSE
7.25,29.66,16.90,6.96,5.51,0.29,TRUE
7.5,30,17.72,6.10,5.55,0.35,FALSE
7.75,29.64,18.92,5.48,4.96,0.27,TRUE
8,30,19.87,4.89,4.59,0.33,FALSE
8.25,29.63,20.48,4.45,4.44,0.26,TRUE
8.5,30,21.22,3.90,4.19,0.24,FALSE
8.75,29.63,21.65,3.78,3.96,0.24,TRUE
9,30,21.89,3.51,3.99,0.28,FALSE
