Id,Manufacturer,Model,IsDiscrete,,,
0ed77906-3534-9c10-9a58-d9132a75e824,Mahlkönig,EK43 (turkish),FALSE,,,
Value,Amount,Coarse,MidHigh,MidLow,Fine,IsExtrapolated
4,30,0.24,11.99,15.36,2.11,FALSE
4.25,29.67,0.19,13.66,14.05,1.77,TRUE
4.5,30,0.65,14.47,13.31,1.4,FALSE
4.75,29.75,0.90,15.57,11.64,1.65,TRUE
5,30,1.51,16.33,10.17,1.7,FALSE
5.25,29.78,2.58,15.82,9.82,1.54,TRUE
5.5,30,3.61,15.48,9.25,1.4,FALSE
5.75,29.76,4.89,14.94,8.48,1.44,TRUE
6,30,6.34,14.17,7.75,1.51,FALSE
6.25,29.74,7.53,13.36,7.50,1.35,TRUE
6.5,30,8.82,12.24,7.19,1.37,FALSE
6.75,29.71,10.23,11.44,6.77,1.27,TRUE
7,30,11.7,10.28,6.77,1.25,FALSE
7.25,29.70,12.83,9.47,6.21,1.19,TRUE
7.5,30,14.04,8.43,5.83,1.3,FALSE
7.75,29.71,15.16,7.67,5.76,1.12,TRUE
8,30,16.37,6.93,5.86,0.58,FALSE
8.25,29.73,17.14,6.18,5.35,1.05,TRUE
8.5,30,17.97,5.55,5.1,1.09,FALSE
8.75,29.75,18.73,5.08,4.96,0.99,TRUE
9,30,19.88,4.48,4.6,0.83,FALSE
9.25,29.78,19.94,4.35,4.56,0.93,TRUE
9.5,30,20.24,4.09,4.415,0.965,FALSE
9.75,29.79,20.85,3.92,4.14,0.87,TRUE
10,30,21.62,3.44,4.025,0.62,FALSE
10.25,29.75,21.58,3.65,3.71,0.82,TRUE
10.5,30,22.25,3.01,3.88,0.82,FALSE
10.75,29.65,22.28,3.30,3.30,0.77,TRUE
11,30,23.05,2.79,3.12,1.12,FALSE
