Id,Manufacturer,Model,IsDiscrete,,,
cc2a9e6f-dbc5-99a5-9552-f745b1c73f89,Niche,Zero,FALSE,,,
Value,Amount,Coarse,MidHigh,MidLow,Fine,IsExtrapolated
26,29.98,0.69,10.08,18.61,0.60,TRUE
26.5,29.92,0.90,10.13,18.29,0.60,TRUE
27,29.86,1.12,10.17,17.98,0.59,TRUE
27.5,29.80,1.33,10.21,17.67,0.59,TRUE
28,29.74,1.54,10.25,17.37,0.59,TRUE
28.5,29.69,1.75,10.29,17.07,0.59,TRUE
29,29.64,1.96,10.32,16.78,0.58,TRUE
29.5,29.60,2.17,10.35,16.50,0.58,TRUE
30,29.56,2.38,10.38,16.22,0.58,TRUE
30.5,29.52,2.59,10.41,15.95,0.58,TRUE
31,29.48,2.80,10.44,15.68,0.57,TRUE
31.5,29.45,3.00,10.46,15.41,0.57,TRUE
32,29.42,3.21,10.48,15.16,0.57,TRUE
32.5,29.39,3.42,10.50,14.90,0.57,TRUE
33,29.36,3.63,10.52,14.66,0.56,TRUE
33.5,29.34,3.83,10.54,14.41,0.56,TRUE
34,29.32,4.04,10.55,14.18,0.56,TRUE
34.5,29.30,4.24,10.56,13.94,0.56,TRUE
35,29.29,4.45,10.57,13.72,0.55,TRUE
35.5,29.27,4.65,10.58,13.49,0.55,TRUE
36,29.26,4.86,10.58,13.27,0.55,TRUE
36.5,29.25,5.06,10.59,13.06,0.55,TRUE
37,29.25,5.27,10.59,12.85,0.54,TRUE
37.5,29.24,5.47,10.59,12.65,0.54,TRUE
38,29.24,5.67,10.59,12.44,0.54,TRUE
38.5,29.24,5.87,10.58,12.25,0.54,TRUE
39,29.24,6.08,10.57,12.06,0.53,TRUE
39.5,29.24,6.28,10.56,11.87,0.53,TRUE
40,29.25,6.48,10.55,11.69,0.53,TRUE
40.5,29.25,6.68,10.54,11.51,0.53,TRUE
41,29.26,6.88,10.53,11.33,0.52,TRUE
41.5,29.27,7.08,10.51,11.16,0.52,TRUE
42,29.28,7.28,10.49,10.99,0.52,TRUE
42.5,29.29,7.48,10.47,10.83,0.52,TRUE
43,29.30,7.68,10.45,10.67,0.51,TRUE
43.5,29.32,7.88,10.42,10.51,0.51,TRUE
44,29.33,8.07,10.39,10.36,0.51,TRUE
44.5,29.35,8.27,10.36,10.21,0.51,TRUE
45,29.36,8.47,10.33,10.06,0.50,TRUE
45.5,29.38,8.67,10.30,9.92,0.50,TRUE
46,29.40,8.86,10.26,9.78,0.50,TRUE
46.5,29.42,9.06,10.23,9.64,0.50,TRUE
47,29.44,9.25,10.19,9.51,0.49,TRUE
47.5,29.46,9.45,10.14,9.38,0.49,TRUE
48,29.48,9.64,10.10,9.25,0.49,TRUE
48.5,29.50,9.84,10.05,9.13,0.49,TRUE
49,29.53,10.03,10.01,9.00,0.48,TRUE
49.5,29.55,10.23,9.96,8.89,0.48,TRUE
50,29.57,10.42,9.90,8.77,0.48,TRUE
50.5,29.60,10.61,9.85,8.66,0.48,TRUE
51,29.62,10.81,9.79,8.55,0.47,TRUE
51.5,29.64,11.00,9.74,8.44,0.47,TRUE
52,29.67,11.19,9.68,8.34,0.47,TRUE
52.5,29.69,11.38,9.61,8.23,0.47,TRUE
53,29.72,11.57,9.55,8.13,0.46,TRUE
53.5,29.74,11.76,9.48,8.03,0.46,TRUE
54,29.76,11.95,9.42,7.94,0.46,TRUE
54.5,29.79,12.14,9.35,7.84,0.46,TRUE
55,29.81,12.33,9.27,7.75,0.45,TRUE
55.5,29.83,12.52,9.20,7.66,0.45,TRUE
56,29.85,12.71,9.12,7.58,0.45,TRUE
56.5,29.87,12.90,9.04,7.49,0.45,TRUE
57,29.89,13.08,8.96,7.41,0.44,TRUE
57.5,29.91,13.27,8.88,7.32,0.44,TRUE
58,29.93,13.46,8.80,7.24,0.44,TRUE
58.5,29.95,13.64,8.71,7.16,0.44,TRUE
59,29.97,13.83,8.62,7.09,0.43,TRUE
59.5,29.99,14.02,8.53,7.01,0.43,TRUE
60,30.00,14.20,8.44,6.94,0.43,TRUE
60.5,30.02,14.39,8.34,6.86,0.43,TRUE
61,30.03,14.57,8.24,6.79,0.42,TRUE
61.5,30.04,14.75,8.14,6.72,0.42,TRUE
62,30.05,14.94,8.04,6.65,0.42,TRUE
62.5,30.06,15.12,7.94,6.58,0.42,TRUE
63,30.07,15.30,7.84,6.52,0.41,TRUE
63.5,30.08,15.49,7.73,6.45,0.41,TRUE
64,30.08,15.67,7.62,6.38,0.41,TRUE
64.5,30.08,15.85,7.51,6.32,0.41,TRUE
65,30.08,16.03,7.39,6.26,0.40,TRUE
65.5,30.08,16.21,7.28,6.19,0.40,TRUE
66,30.08,16.39,7.16,6.13,0.40,TRUE
66.5,30.08,16.57,7.04,6.07,0.40,TRUE
67,30.07,16.75,6.92,6.01,0.39,TRUE
67.5,30.06,16.93,6.80,5.95,0.39,TRUE
68,30.05,17.11,6.67,5.88,0.39,TRUE
68.5,30.04,17.29,6.54,5.82,0.39,TRUE
69,30.03,17.47,6.41,5.76,0.38,TRUE
69.5,30.01,17.64,6.28,5.70,0.38,TRUE
70,29.99,17.82,6.15,5.64,0.38,TRUE
70.5,29.97,18.00,6.01,5.58,0.38,TRUE
71,29.94,18.18,5.87,5.52,0.37,TRUE
71.5,29.92,18.35,5.73,5.46,0.37,TRUE
72,29.89,18.53,5.59,5.40,0.37,TRUE
72.5,29.85,18.70,5.45,5.34,0.37,TRUE
73,29.82,18.88,5.30,5.28,0.36,TRUE
73.5,29.78,19.05,5.15,5.22,0.36,TRUE
74,29.74,19.23,5.00,5.16,0.36,TRUE
74.5,29.70,19.40,4.85,5.09,0.36,TRUE
75,29.65,19.57,4.69,5.03,0.35,TRUE
75.5,29.60,19.75,4.54,4.97,0.35,TRUE
76,29.55,19.92,4.38,4.90,0.35,TRUE
76.5,29.49,20.09,4.22,4.84,0.35,TRUE
77,29.43,20.26,4.06,4.77,0.34,TRUE
77.5,29.37,20.43,3.89,4.70,0.34,TRUE
78,29.30,20.60,3.73,4.63,0.34,TRUE
78.5,29.23,20.77,3.56,4.56,0.34,TRUE
79,29.16,20.94,3.39,4.49,0.33,TRUE
79.5,29.08,21.11,3.21,4.42,0.33,TRUE
80,29.00,21.28,3.04,4.35,0.33,TRUE
80.5,28.91,21.45,2.86,4.27,0.33,TRUE
81,28.82,21.62,2.68,4.20,0.32,TRUE
